136	ベッキー	73	83	0.13330327	60.17368633	名詞,一般,*,*
134	気	74	84	0.13134293	60.30502926	名詞,一般,*,*
133	ぬ	75	85	0.13036276	60.43539202	助動詞,*,*,*
131	ため	76	86	0.12840242	60.56379444	名詞,非自立,副詞可能,*
130	顔	77	87	0.12742225	60.69121669	名詞,一般,*,*
125	ジョー	78	88	0.12252139	60.81373808	名詞,固有名詞,人名,名
125	ね	78	88	0.12252139	60.93625947	助詞,終助詞,*,*
125	もう	78	88	0.12252139	61.05878086	副詞,一般,*,*
123	・	79	91	0.12056105	61.17934191	記号,一般,*,*
123	ので	79	91	0.12056105	61.29990296	助詞,接続助詞,*,*
121	り	80	93	0.11860071	61.41850367	助動詞,*,*,*
121	三	80	93	0.11860071	61.53710438	名詞,数,*,*
121	誰	80	93	0.11860071	61.65570509	名詞,代名詞,一般,*
119	つく	81	96	0.11664037	61.77234545	動詞,自立,*,*
118	わ	82	97	0.11566019	61.88800565	助詞,終助詞,*,*
117	あいだ	83	98	0.11468002	62.00268567	名詞,副詞可能,*,*
117	しか	83	98	0.11468002	62.11736569	助詞,係助詞,*,*
116	ぜ	84	100	0.11369985	62.23106554	助詞,終助詞,*,*
113	村	85	101	0.11075934	62.34182488	名詞,一般,*,*
112	たり	86	102	0.10977917	62.45160405	助詞,並立助詞,*,*
112	ほど	86	102	0.10977917	62.56138322	助詞,副助詞,*,*
110	声	87	104	0.10781883	62.66920204	名詞,一般,*,*
109	とる	88	105	0.10683865	62.77604070	動詞,自立,*,*
107	いま	89	106	0.10487831	62.88091901	名詞,副詞可能,*,*
106	あの	90	107	0.10389814	62.98481715	連体詞,*,*,*
106	考える	90	107	0.10389814	63.08871529	動詞,自立,*,*
105	そこ	91	109	0.10291797	63.19163326	名詞,代名詞,一般,*
105	知る	91	109	0.10291797	63.29455123	動詞,自立,*,*
103	つける	92	111	0.10095763	63.39550886	動詞,自立,*,*
103	や	92	111	0.10095763	63.49646648	助詞,並立助詞,*,*
103	やがて	92	111	0.10095763	63.59742411	副詞,一般,*,*
103	心	92	111	0.10095763	63.69838174	名詞,接尾,一般,*
102	だって	93	115	0.09997746	63.79835919	助詞,副助詞,*,*
102	はじめる	93	115	0.09997746	63.89833665	動詞,自立,*,*
101	家	94	117	0.09899728	63.99733393	名詞,一般,*,*
99	いう	95	118	0.09703694	64.09437088	動詞,自立,*,*
99	わたし	95	118	0.09703694	64.19140782	名詞,代名詞,一般,*
98	出る	96	120	0.09605677	64.28746459	動詞,自立,*,*
93	お	97	121	0.09115592	64.37862051	接頭詞,名詞接続,*,*
92	うち	98	122	0.09017574	64.46879625	名詞,非自立,副詞可能,*
92	出す	98	122	0.09017574	64.55897200	動詞,非自立,*,*
91	く	99	124	0.08919557	64.64816757	動詞,非自立,*,*
90	ここ	100	125	0.08821540	64.73638297	名詞,代名詞,一般,*
90	前	100	125	0.08821540	64.82459837	名詞,副詞可能,*,*
89	でも	101	127	0.08723523	64.91183361	接続詞,*,*,*
89	ほう	101	127	0.08723523	64.99906884	名詞,非自立,一般,*
89	また	101	127	0.08723523	65.08630407	接続詞,*,*,*
89	上	101	127	0.08723523	65.17353930	名詞,接尾,副詞可能,*
89	彼ら	101	127	0.08723523	65.26077453	名詞,代名詞,一般,*
86	え	102	132	0.08429472	65.34506925	フィラー,*,*,*
86	し	102	132	0.08429472	65.42936397	助詞,接続助詞,*,*
86	ら	102	132	0.08429472	65.51365868	名詞,接尾,一般,*
86	帰る	102	132	0.08429472	65.59795340	動詞,自立,*,*
83	なんだ	103	136	0.08135420	65.67930761	名詞,一般,*,*
80	かい	104	137	0.07841369	65.75772130	助詞,終助詞,*,*
80	そんな	104	137	0.07841369	65.83613499	連体詞,*,*,*
79	かける	105	139	0.07743352	65.91356851	動詞,非自立,*,*
76	さん	106	140	0.07449301	65.98806152	名詞,接尾,人名,*
76	め	106	140	0.07449301	66.06255452	名詞,接尾,一般,*
74	いや	107	142	0.07253266	66.13508719	名詞,形容動詞語幹,*,*
73	あと	108	143	0.07155249	66.20663968	名詞,一般,*,*
73	ます	108	143	0.07155249	66.27819217	助動詞,*,*,*
72	くらい	109	145	0.07057232	66.34876449	助詞,副助詞,*,*
72	第	109	145	0.07057232	66.41933682	接頭詞,数接続,*,*
71	なんか	110	147	0.06959215	66.48892897	助詞,副助詞,*,*
71	死ぬ	110	147	0.06959215	66.55852112	動詞,自立,*,*
71	先生	110	147	0.06959215	66.62811327	名詞,一般,*,*
70	聞く	111	150	0.06861198	66.69672525	動詞,自立,*,*
69	あげる	112	151	0.06763181	66.76435706	動詞,非自立,*,*
69	一つ	112	151	0.06763181	66.83198887	名詞,一般,*,*
68	みんな	113	153	0.06665164	66.89864050	名詞,代名詞,一般,*
68	口	113	153	0.06665164	66.96529214	名詞,一般,*,*
68	夜	113	153	0.06665164	67.03194378	名詞,副詞可能,*,*
67	ちゃ	114	156	0.06567147	67.09761524	助詞,接続助詞,*,*
67	言葉	114	156	0.06567147	67.16328671	名詞,一般,*,*
67	章	114	156	0.06567147	67.22895818	名詞,接尾,助数詞,*
67	日	114	156	0.06567147	67.29462964	名詞,接尾,助数詞,*
66	かも	115	160	0.06469130	67.35932094	助詞,副助詞,*,*
66	しれる	115	160	0.06469130	67.42401223	動詞,自立,*,*
66	それから	115	160	0.06469130	67.48870353	接続詞,*,*,*
66	だい	115	160	0.06469130	67.55339482	名詞,一般,*,*
66	どう	115	160	0.06469130	67.61808612	副詞,助詞類接続,*,*
66	立つ	115	160	0.06469130	67.68277741	動詞,自立,*,*
65	しばらく	116	166	0.06371112	67.74648854	副詞,助詞類接続,*,*
65	同じ	116	166	0.06371112	67.81019966	連体詞,*,*,*
64	いつも	117	168	0.06273095	67.87293061	副詞,一般,*,*
63	おく	118	169	0.06175078	67.93468140	動詞,非自立,*,*
63	すこし	118	169	0.06175078	67.99643218	副詞,助詞類接続,*,*
62	あいつ	119	171	0.06077061	68.05720279	名詞,代名詞,一般,*
62	つづく	119	171	0.06077061	68.11797340	動詞,自立,*,*
62	です	119	171	0.06077061	68.17874401	助動詞,*,*,*
62	どこ	119	171	0.06077061	68.23951462	名詞,代名詞,一般,*
62	よい	119	171	0.06077061	68.30028523	形容詞,非自立,*,*
62	下	119	171	0.06077061	68.36105584	名詞,一般,*,*
60	ばかり	120	177	0.05881027	68.41986611	助詞,副助詞,*,*
60	まだ	120	177	0.05881027	68.47867638	副詞,助詞類接続,*,*
60	持つ	120	177	0.05881027	68.53748665	動詞,自立,*,*
59	きこえる	121	180	0.05783010	68.59531674	動詞,自立,*,*
57	どんな	122	181	0.05586975	68.65118650	連体詞,*,*,*
57	待つ	122	181	0.05586975	68.70705625	動詞,自立,*,*
56	すぐ	123	183	0.05488958	68.76194584	副詞,助詞類接続,*,*
56	として	123	183	0.05488958	68.81683542	助詞,格助詞,連語,*
56	小さな	123	183	0.05488958	68.87172500	連体詞,*,*,*
55	ぼく	124	186	0.05390941	68.92563442	名詞,代名詞,一般,*
55	話	124	186	0.05390941	68.97954383	名詞,サ変接続,*,*
55	話す	124	186	0.05390941	69.03345324	動詞,自立,*,*
54	しかし	125	189	0.05292924	69.08638248	接続詞,*,*,*
54	はいる	125	189	0.05292924	69.13931172	動詞,自立,*,*
54	見える	125	189	0.05292924	69.19224097	動詞,自立,*,*
53	海賊	126	192	0.05194907	69.24419004	名詞,一般,*,*
53	仕事	126	192	0.05194907	69.29613911	名詞,サ変接続,*,*
53	体	126	192	0.05194907	69.34808818	名詞,一般,*,*
52	すぎる	127	195	0.05096890	69.39905708	動詞,自立,*,*
52	やつ	127	195	0.05096890	69.45002597	名詞,代名詞,一般,*
52	子供たち	127	195	0.05096890	69.50099487	名詞,一般,*,*
52	長い	127	195	0.05096890	69.55196377	形容詞,自立,*,*
52	頭	127	195	0.05096890	69.60293267	名詞,一般,*,*
51	つぎ	128	200	0.04998873	69.65292140	名詞,一般,*,*
51	寝る	128	200	0.04998873	69.70291013	動詞,自立,*,*
51	探す	128	200	0.04998873	69.75289886	動詞,自立,*,*
51	洞窟	128	200	0.04998873	69.80288758	名詞,一般,*,*
51	猫	128	200	0.04998873	69.85287631	名詞,一般,*,*
50	ぞ	129	205	0.04900856	69.90188487	助詞,終助詞,*,*
50	五	129	205	0.04900856	69.95089343	名詞,数,*,*
50	子	129	205	0.04900856	69.99990198	名詞,一般,*,*
50	本	129	205	0.04900856	70.04891054	名詞,一般,*,*
49	だす	130	209	0.04802839	70.09693893	動詞,非自立,*,*
49	音	130	209	0.04802839	70.14496731	名詞,一般,*,*
48	まもなく	131	211	0.04704821	70.19201553	副詞,助詞類接続,*,*
48	気がつく	131	211	0.04704821	70.23906374	動詞,自立,*,*
48	夢	131	211	0.04704821	70.28611196	名詞,一般,*,*
47	いっしょ	132	214	0.04606804	70.33218000	名詞,一般,*,*
47	けど	132	214	0.04606804	70.37824804	助詞,接続助詞,*,*
47	こむ	132	214	0.04606804	70.42431609	動詞,非自立,*,*
47	ちょっと	132	214	0.04606804	70.47038413	副詞,助詞類接続,*,*
47	気持	132	214	0.04606804	70.51645217	名詞,一般,*,*
47	胸	132	214	0.04606804	70.56252022	名詞,一般,*,*
47	足	132	214	0.04606804	70.60858826	名詞,一般,*,*
46	サッチャー	133	221	0.04508787	70.65367613	名詞,固有名詞,人名,一般
46	すばらしい	133	221	0.04508787	70.69876400	形容詞,自立,*,*
46	なんて	133	221	0.04508787	70.74385188	助詞,副助詞,*,*
46	まわる	133	221	0.04508787	70.78893975	動詞,非自立,*,*
46	よろこぶ	133	221	0.04508787	70.83402762	動詞,自立,*,*
46	学校	133	221	0.04508787	70.87911549	名詞,一般,*,*
46	耳	133	221	0.04508787	70.92420337	名詞,一般,*,*
45	いける	134	228	0.04410770	70.96831107	動詞,非自立,*,*
45	うん	134	228	0.04410770	71.01241877	感動詞,*,*,*
45	える	134	228	0.04410770	71.05652647	動詞,自立,*,*
45	より	134	228	0.04410770	71.10063417	助詞,格助詞,一般,*
45	ろ	134	228	0.04410770	71.14474187	名詞,一般,*,*
45	泣く	134	228	0.04410770	71.18884957	動詞,自立,*,*
45	大きな	134	228	0.04410770	71.23295727	連体詞,*,*,*
45	入れる	134	228	0.04410770	71.27706498	動詞,自立,*,*
45	木	134	228	0.04410770	71.32117268	名詞,一般,*,*
44	どうして	135	237	0.04312753	71.36430021	副詞,一般,*,*
44	はず	135	237	0.04312753	71.40742774	名詞,非自立,一般,*
44	もう一度	135	237	0.04312753	71.45055527	副詞,一般,*,*
44	金	135	237	0.04312753	71.49368280	名詞,接尾,一般,*
44	書く	135	237	0.04312753	71.53681033	動詞,自立,*,*
44	道	135	237	0.04312753	71.57993786	名詞,一般,*,*
43	おろす	136	243	0.04214736	71.62208522	動詞,自立,*,*
43	つづける	136	243	0.04214736	71.66423258	動詞,自立,*,*
43	ほとんど	136	243	0.04214736	71.70637993	副詞,一般,*,*
43	終る	136	243	0.04214736	71.74852729	動詞,自立,*,*
43	場所	136	243	0.04214736	71.79067465	名詞,一般,*,*
43	人間	136	243	0.04214736	71.83282201	名詞,一般,*,*
43	男	136	243	0.04214736	71.87496937	名詞,一般,*,*
43	歩く	136	243	0.04214736	71.91711673	動詞,自立,*,*
43	黙る	136	243	0.04214736	71.95926409	動詞,自立,*,*
42	きく	137	252	0.04116719	72.00043128	動詞,自立,*,*
42	こんな	137	252	0.04116719	72.04159846	連体詞,*,*,*
42	とても	137	252	0.04116719	72.08276565	副詞,助詞類接続,*,*
42	と言った	137	252	0.04116719	72.12393284	名詞,一般,*,*
42	もっと	137	252	0.04116719	72.16510003	副詞,一般,*,*
42	少女	137	252	0.04116719	72.20626721	名詞,一般,*,*
41	あまり	138	258	0.04018702	72.24645423	副詞,助詞類接続,*,*
41	き	138	258	0.04018702	72.28664125	助動詞,*,*,*
41	まま	138	258	0.04018702	72.32682826	名詞,非自立,副詞可能,*
41	よく	138	258	0.04018702	72.36701528	副詞,一般,*,*
